,,Codigo,Nome,CNPJ
[ARRI11](https://fiibrasil.com/fundo/ARRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ARRI11-ATRIO-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",ARRI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,32.006.821/0001-21
[ARXD11](https://fiibrasil.com/fundo/ARXD11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ARXD11.jpg)</span>",ARXD11,ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.527.494/0001-32
[ASMT11](https://fiibrasil.com/fundo/ASMT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ASMT11.jpg)</span>",ASMT11,ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.921/0001-62
[ASRF11](https://fiibrasil.com/fundo/ASRF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ASRF11.jpg)</span>",ASRF11,ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO,45.188.033/0001-45
[ATCR11](https://fiibrasil.com/fundo/ATCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ATCR11.jpg)</span>",ATCR11,HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.631.148/0001-39
[ATSA11](https://fiibrasil.com/fundo/ATSA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ATSA11.jpg)</span>",ATSA11,HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.809.972/0001-00
[ATWN11](https://fiibrasil.com/fundo/ATWN11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ATWN11.jpg)</span>",ATWN11,AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.773.327/0001-52
[AURB11](https://fiibrasil.com/fundo/AURB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/AURB11.jpg)</span>",AURB11,ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.823/0001-88
[BARI11](https://fiibrasil.com/fundo/BARI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BARI11-BARIGUI-RENDIMENTOS.jpg)</span>",BARI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII,29.267.567/0001-00
[BBFI11B](https://fiibrasil.com/fundo/BBFI11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BBFI11B-BB-PROGRESSIVO.jpg)</span>",BBFI11B,BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,07.000.400/0001-46
[BBFO11](https://fiibrasil.com/fundo/BBFO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BBFO11.jpg)</span>",BBFO11,BB FUNDO DE FUNDOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.180.091/0001-02
[BBIM11](https://fiibrasil.com/fundo/BBIM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BBIM11.jpg)</span>",BBIM11,BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.716.161/0001-93
[BBPO11](https://fiibrasil.com/fundo/BBPO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BBPO11-BB-PROGRESSIVO-II.jpg)</span>",BBPO11,BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.410.722/0001-29
[BBRC11](https://fiibrasil.com/fundo/BBRC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BBRC11-BB-RENDA-CORPORATIVA.jpg)</span>",BBRC11,BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.681.340/0001-04
[BCFF11](https://fiibrasil.com/fundo/BCFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BCFF11-BTG-Pactual-Fundo-de-Fundos.jpg)</span>",BCFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL FUNDO DE FUNDOS,11.026.627/0001-38
[BCIA11](https://fiibrasil.com/fundo/BCIA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BCIA11-BRADESCO-CARTEIRA-IMOBILIARIA-ATIVA.jpg)</span>",BCIA11,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,20.216.935/0001-17
[BCRI11](https://fiibrasil.com/fundo/BCRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BCRI11-BANESTES-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",BCRI11,BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.219.335/0001-38
[BICE11](https://fiibrasil.com/fundo/BICE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BICE11.jpg)</span>",BICE11,BRIO CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.332.032/0001-20
[BICR11](https://fiibrasil.com/fundo/BICR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BICR11.jpg)</span>",BICR11,INTER TÍTULOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIARIO,34.007.109/0001-72
[BIME11](https://fiibrasil.com/fundo/BIME11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BIME11.jpg)</span>",BIME11,BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.081.356/0001-84
[BIPD11](https://fiibrasil.com/fundo/BIPD11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BIPD11.jpg)</span>",BIPD11,BRIO REAL ESTATE IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.869.892/0001-01
[BLCA11](https://fiibrasil.com/fundo/BLCA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLCA11.jpg)</span>",BLCA11,BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.748/0001-55
[BLMC11](https://fiibrasil.com/fundo/BLMC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLMC11.jpg)</span>",BLMC11,BLUEMACAW CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.294.221/0001-92
[BLMG11](https://fiibrasil.com/fundo/BLMG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLMG11-BLUEMACAW-LOGISTICA.jpg)</span>",BLMG11,BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.637/0001-71
[BLMO11](https://fiibrasil.com/fundo/BLMO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLMO11.jpg)</span>",BLMO11,BLUEMACAW OFFICE FUND II FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.894/0001-47
[BLMR11](https://fiibrasil.com/fundo/BLMR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLMR11-BLUEMACAW-RENDA.jpg)</span>",BLMR11,BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.368.869/0001-30
[BLUR11](https://fiibrasil.com/fundo/BLUR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BLUR11.jpg)</span>",BLUR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BLUE RECEBÍVEIS IMOBILIÁRIOS,38.051.307/0001-94
[BMII11](https://fiibrasil.com/fundo/BMII11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BMII11.jpg)</span>",BMII11,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,02.027.437/0001-44
[BMLC11](https://fiibrasil.com/fundo/BMLC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BMLC11.jpg)</span>",BMLC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS,14.376.247/0001-11
[BNFS11](https://fiibrasil.com/fundo/BNFS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BNFS11.jpg)</span>",BNFS11,BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.570.431/0001-60
[BPFF11](https://fiibrasil.com/fundo/BPFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ABCP11-GRAND-PLAZA-SHOPPING.jpg)</span>",BPFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS,17.324.357/0001-28
[BPLC11](https://fiibrasil.com/fundo/BPLC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BPLC11.jpg)</span>",BPLC11,BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.555/0001-13
[BPML11](https://fiibrasil.com/fundo/BPML11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BPML11.jpg)</span>",BPML11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33.046.142/0001-49
[BPRP11](https://fiibrasil.com/fundo/BPRP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BPRP11.jpg)</span>",BPRP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRLPROP,29.800.650/0001-01
[BRCO11](https://fiibrasil.com/fundo/BRCO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRCO11-BRESCO-LOGISTICA.jpg)</span>",BRCO11,BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.748.515/0001-81
[BRCR11](https://fiibrasil.com/fundo/BRCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRCR11-BTG-PACTUAL-CORPORATE-OFFICE.jpg)</span>",BRCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL CORPORATE OFFICE FUND,08.924.783/0001-01
[BREV11](https://fiibrasil.com/fundo/BREV11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BREV11.jpg)</span>",BREV11,BRAZIL REAL ESTATE VICTORY FUND I FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.195.121/0001-20
[BRHT11B](https://fiibrasil.com/fundo/BRHT11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRHT11B.jpg)</span>",BRHT11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS,15.461.076/0001-91
[BRIM11](https://fiibrasil.com/fundo/BRIM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRIM11.jpg)</span>",BRIM11,BRIO REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.964.843/0001-03
[BRIP11](https://fiibrasil.com/fundo/BRIP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRIP11.jpg)</span>",BRIP11,BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80
[BRIX11](https://fiibrasil.com/fundo/BRIX11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRIX11.jpg)</span>",BRIX11,BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.360.651/0001-77
[BRLA11](https://fiibrasil.com/fundo/BRLA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRLA11.jpg)</span>",BRLA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II,35.652.278/0001-28
[BROF11](https://fiibrasil.com/fundo/BROF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BROF11.jpg)</span>",BROF11,BRPR CORPORATE OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,48.978.859/0001-04
[BRSE11](https://fiibrasil.com/fundo/BRSE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BRSE11.jpg)</span>",BRSE11,BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.944.736/0001-32
[BTAL11](https://fiibrasil.com/fundo/BTAL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTAL11-AGRO-LOGISTICA.jpg)</span>",BTAL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36.642.244/0001-15
[BTCI11](https://fiibrasil.com/fundo/BTCI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTCI11.jpg)</span>",BTCI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL CRÉDITO IMOBILIÁRIO,09.552.812/0001-14
[BTLG11](https://fiibrasil.com/fundo/BTLG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTLG11-BTG-Pactual.jpg)</span>",BTLG11,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09
[BTRA11](https://fiibrasil.com/fundo/BTRA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTRA11-BTG-TERRAS-AGRICOLAS.jpg)</span>",BTRA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,41.076.607/0001-32
[BTSG11](https://fiibrasil.com/fundo/BTSG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTSG11.jpg)</span>",BTSG11,BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.098.375/0001-83
[BTSI11](https://fiibrasil.com/fundo/BTSI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTSI11.jpg)</span>",BTSI11,BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.930.464/0001-44
[BTWR11](https://fiibrasil.com/fundo/BTWR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BTWR11.jpg)</span>",BTWR11,BTOWERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.132.453/0001-89
[BVAR11](https://fiibrasil.com/fundo/BVAR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BVAR11.jpg)</span>",BVAR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21.126.204/0001-43
[BZEL11](https://fiibrasil.com/fundo/BZEL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BZEL11.jpg)</span>",BZEL11,BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.610/0001-60
[BZLI11](https://fiibrasil.com/fundo/BZLI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/BZLI11.jpg)</span>",BZLI11,BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.074.706/0001-02
[CACR11](https://fiibrasil.com/fundo/CACR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CACR11-CARTESIA-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",CACR11,CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.065.364/0001-46
[CARE11](https://fiibrasil.com/fundo/CARE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CARE11-BRAZILIAN-GRAVEYARD-DEATH-CARE.jpg)</span>",CARE11,BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,13.584.584/0001-31
[CBOP11](https://fiibrasil.com/fundo/CBOP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CBOP11.jpg)</span>",CBOP11,CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.144.039/0001-85
[CCLB11](https://fiibrasil.com/fundo/CCLB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CCLB11.jpg)</span>",CCLB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRAL LEBLON,45.777.347/0001-83
[CCME11](https://fiibrasil.com/fundo/CCME11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CCME11.jpg)</span>",CCME11,CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.010.844/0001-26
[CCRF11](https://fiibrasil.com/fundo/CCRF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CCRF11.jpg)</span>",CCRF11,RBR CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.268/0001-43
[CEOC11](https://fiibrasil.com/fundo/CEOC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CEOC11.jpg)</span>",CEOC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CEO CYRELA COMMERCIAL PROPERTIES,15.799.397/0001-09
[CFHI11](https://fiibrasil.com/fundo/CFHI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CFHI11.jpg)</span>",CFHI11,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.923/0001-70
[CFII11](https://fiibrasil.com/fundo/CFII11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CFII11.jpg)</span>",CFII11,CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.325.993/0001-59
,,CIXR11,CIX RENDIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO,47.086.230/0001-89
[CJCT11](https://fiibrasil.com/fundo/CJCT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CJCT11.jpg)</span>",CJCT11,CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.347.985/0001-80
[CJFI11](https://fiibrasil.com/fundo/CJFI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CJFI11.jpg)</span>",CJFI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CJ,23.582.914/0001-03
[CNES11](https://fiibrasil.com/fundo/CNES11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CNES11.jpg)</span>",CNES11,FUNDO DE INVESTIMENTO IMOBILIÁRIO FII CENESP,13.551.286/0001-45
[COPP11](https://fiibrasil.com/fundo/COPP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/COPP11.jpg)</span>",COPP11,CORPORATE OFFICE PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,48.916.699/0001-60
[CPFF11](https://fiibrasil.com/fundo/CPFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CPFF11-CAPITANIA-REIT-FOF.jpg)</span>",CPFF11,CAPITÂNIA REIT FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.611/0001-23
[CPFO11](https://fiibrasil.com/fundo/CPFO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CPFO11.jpg)</span>",CPFO11,CAPITÂNIA REIT FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO II,48.916.246/0001-34
[CPSH11](https://fiibrasil.com/fundo/CPSH11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CPSH11.jpg)</span>",CPSH11,CAPITÂNIA SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,47.896.665/0001-99
[CPTS11](https://fiibrasil.com/fundo/CPTS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CPTS11-Capitania-Securities-II.jpg)</span>",CPTS11,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.979.895/0001-13
[CRFF11](https://fiibrasil.com/fundo/CRFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CRFF11.jpg)</span>",CRFF11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31.887.401/0001-39
[CSMC11](https://fiibrasil.com/fundo/CSMC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CSMC11.jpg)</span>",CSMC11,COSMIC FUNDO DE INVESTIMENTO IMOBILIARIO,41.081.336/0001-03
[CTXT11](https://fiibrasil.com/fundo/CTXT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CTXT11.jpg)</span>",CTXT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL,00.762.723/0001-28
[CVBI11](https://fiibrasil.com/fundo/CVBI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CVBI11-VBI-CRI.jpg)</span>",CVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI CRI,28.729.197/0001-13
[CVPR11](https://fiibrasil.com/fundo/CVPR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CVPR11.jpg)</span>",CVPR11,CVPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI,38.294.329/0001-85
[CXAG11](https://fiibrasil.com/fundo/CXAG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXAG11-FII-CAIXA-AGENCIAS.jpg)</span>",CXAG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,40.189.596/0001-34
[CXCE11B](https://fiibrasil.com/fundo/CXCE11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXCE11B.jpg)</span>",CXCE11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,10.991.914/0001-15
[CXCI11](https://fiibrasil.com/fundo/CXCI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXCI11.jpg)</span>",CXCI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42.066.916/0001-94
[CXCO11](https://fiibrasil.com/fundo/CXCO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXCO11.jpg)</span>",CXCO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS,38.658.984/0001-75
[CXRI11](https://fiibrasil.com/fundo/CXRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXRI11.jpg)</span>",CXRI11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,17.098.794/0001-70
[CXTL11](https://fiibrasil.com/fundo/CXTL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CXTL11.jpg)</span>",CXTL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,12.887.506/0001-43
